,country,year,sex,age,suicides_no,population
168,Albania,1999,female,15-24 years,19.0,296800.0
169,Albania,1999,female,25-34 years,13.0,276500.0
170,Albania,1999,female,35-54 years,5.0,373600.0
171,Albania,1999,female,5-14 years,1.0,365200.0
172,Albania,1999,female,55-74 years,6.0,188800.0
173,Albania,1999,female,75+ years,4.0,42400.0
174,Albania,1999,male,15-24 years,24.0,250600.0
175,Albania,1999,male,25-34 years,19.0,242300.0
176,Albania,1999,male,35-54 years,31.0,391100.0
177,Albania,1999,male,5-14 years,0.0,391300.0
178,Albania,1999,male,55-74 years,14.0,185200.0
179,Albania,1999,male,75+ years,3.0,25900.0
180,Albania,2000,female,15-24 years,6.0,263900.0
181,Albania,2000,female,25-34 years,3.0,245800.0
182,Albania,2000,female,35-54 years,5.0,332200.0
183,Albania,2000,female,5-14 years,0.0,324700.0
184,Albania,2000,female,55-74 years,0.0,168000.0
185,Albania,2000,female,75+ years,2.0,37800.0
186,Albania,2000,male,15-24 years,5.0,240000.0
187,Albania,2000,male,25-34 years,17.0,232000.0
188,Albania,2000,male,35-54 years,4.0,374700.0
189,Albania,2000,male,5-14 years,1.0,374900.0
190,Albania,2000,male,55-74 years,10.0,177400.0
191,Albania,2000,male,75+ years,1.0,24900.0
192,Albania,2001,female,15-24 years,9.0,271359.0
193,Albania,2001,female,25-34 years,4.0,222771.0
194,Albania,2001,female,35-54 years,12.0,370191.0
195,Albania,2001,female,5-14 years,2.0,307356.0
196,Albania,2001,female,55-74 years,6.0,189799.0
197,Albania,2001,female,75+ years,2.0,47254.0
198,Albania,2001,male,15-24 years,10.0,256039.0
199,Albania,2001,male,25-34 years,22.0,206484.0
200,Albania,2001,male,35-54 years,34.0,378826.0
201,Albania,2001,male,5-14 years,6.0,321556.0
202,Albania,2001,male,55-74 years,11.0,196670.0
203,Albania,2001,male,75+ years,1.0,31044.0
204,Albania,2002,female,15-24 years,14.0,275970.0
205,Albania,2002,female,25-34 years,7.0,223685.0
206,Albania,2002,female,35-54 years,15.0,375113.0
207,Albania,2002,female,5-14 years,1.0,304850.0
208,Albania,2002,female,55-74 years,4.0,191712.0
209,Albania,2002,female,75+ years,1.0,47407.0
210,Albania,2002,male,15-24 years,15.0,263067.0
211,Albania,2002,male,25-34 years,23.0,206286.0
212,Albania,2002,male,35-54 years,35.0,382139.0
213,Albania,2002,male,5-14 years,1.0,319473.0
214,Albania,2002,male,55-74 years,13.0,198130.0
215,Albania,2002,male,75+ years,4.0,31007.0
216,Albania,2003,female,15-24 years,14.0,283709.0
217,Albania,2003,female,25-34 years,9.0,222941.0
218,Albania,2003,female,35-54 years,13.0,381760.0
219,Albania,2003,female,5-14 years,0.0,298477.0
220,Albania,2003,female,55-74 years,9.0,195699.0
221,Albania,2003,female,75+ years,6.0,49088.0
222,Albania,2003,male,15-24 years,15.0,273235.0
223,Albania,2003,male,25-34 years,9.0,205433.0
224,Albania,2003,male,35-54 years,28.0,386196.0
225,Albania,2003,male,5-14 years,4.0,313204.0
226,Albania,2003,male,55-74 years,16.0,201520.0
227,Albania,2003,male,75+ years,1.0,32667.0
228,Albania,2004,female,15-24 years,20.0,292268.0
229,Albania,2004,female,25-34 years,11.0,222389.0
230,Albania,2004,female,35-54 years,17.0,391436.0
231,Albania,2004,female,5-14 years,3.0,286705.0
232,Albania,2004,female,55-74 years,3.0,203841.0
233,Albania,2004,female,75+ years,3.0,50970.0
234,Albania,2004,male,15-24 years,19.0,286768.0
235,Albania,2004,male,25-34 years,16.0,203938.0
236,Albania,2004,male,35-54 years,39.0,391767.0
237,Albania,2004,male,5-14 years,1.0,302181.0
238,Albania,2004,male,55-74 years,10.0,207202.0
239,Albania,2004,male,75+ years,4.0,35526.0
240,Albania,2005,female,15-24 years,0.0,281922.0
241,Albania,2005,female,25-34 years,0.0,190745.0
242,Albania,2005,female,35-54 years,0.0,386513.0
243,Albania,2005,female,5-14 years,0.0,276559.0
244,Albania,2005,female,55-74 years,0.0,210998.0
245,Albania,2005,female,75+ years,0.0,53191.0
246,Albania,2005,male,15-24 years,0.0,281675.0
247,Albania,2005,male,25-34 years,0.0,177519.0
248,Albania,2005,male,35-54 years,0.0,380242.0
249,Albania,2005,male,5-14 years,0.0,291367.0
250,Albania,2005,male,55-74 years,0.0,214118.0
251,Albania,2005,male,75+ years,0.0,38471.0
252,Albania,2006,female,15-24 years,0.0,283138.0
253,Albania,2006,female,25-34 years,0.0,186391.0
254,Albania,2006,female,35-54 years,0.0,388746.0
255,Albania,2006,female,5-14 years,0.0,267316.0
256,Albania,2006,female,55-74 years,0.0,215907.0
257,Albania,2006,female,75+ years,0.0,56011.0
258,Albania,2006,male,15-24 years,0.0,286679.0
259,Albania,2006,male,25-34 years,0.0,174092.0
260,Albania,2006,male,35-54 years,0.0,379076.0
261,Albania,2006,male,5-14 years,0.0,282678.0
262,Albania,2006,male,55-74 years,0.0,219360.0
263,Albania,2006,male,75+ years,0.0,40782.0
264,Albania,2007,female,15-24 years,13.0,281080.0
265,Albania,2007,female,25-34 years,8.0,183629.0
266,Albania,2007,female,35-54 years,14.0,391811.0
267,Albania,2007,female,5-14 years,0.0,256808.0
268,Albania,2007,female,55-74 years,9.0,221120.0
269,Albania,2007,female,75+ years,3.0,57404.0
270,Albania,2007,male,15-24 years,13.0,288349.0
271,Albania,2007,male,25-34 years,9.0,172494.0
272,Albania,2007,male,35-54 years,29.0,378626.0
273,Albania,2007,male,5-14 years,4.0,272497.0
274,Albania,2007,male,55-74 years,14.0,224160.0
275,Albania,2007,male,75+ years,8.0,42366.0
276,Albania,2008,female,15-24 years,20.0,276073.0
277,Albania,2008,female,25-34 years,9.0,182663.0
278,Albania,2008,female,35-54 years,19.0,393832.0
279,Albania,2008,female,5-14 years,1.0,246288.0
280,Albania,2008,female,55-74 years,7.0,226448.0
281,Albania,2008,female,75+ years,5.0,59369.0
282,Albania,2008,male,15-24 years,11.0,286702.0
